"","Season","Competition","Matchday","Date","Venue","Club","Opponent","Result","Playing_Position","Minute","At_score","Type","Goal_assist"
"1","04/05","LaLiga","34","05-01/05","H","FC Barcelona","Albacete Balompie","2:00","CF",901,2,"Left-footed shot","Ronaldinho Gaacho"
"2","05/06","UEFA Champions League","Group Stage","11-02/05","H","FC Barcelona","Panathinaikos Athens","5:00","RW",34,3,"Left-footed shot",""
"3","05/06","LaLiga","13","11/27/05","H","FC Barcelona","Racing Santander","4:01","RW",51,2,"Left-footed shot","Samuel Etoo"
"4","05/06","LaLiga","19","1/15/06","H","FC Barcelona","Athletic Bilbao","2:01","RW",50,2.01,"Left-footed shot","Mark van Bommel"
"5","05/06","LaLiga","20","1/22/06","H","FC Barcelona","Deportivo Alaves","2:00","CF",82,2,"Left-footed shot","Ronaldinho Gaacho"
"6","05/06","LaLiga","21","1/29/06","A","FC Barcelona","RCD Mallorca","0:03","CF",75,0.02,"Right-footed shot","Sylvinho"
"7","05/06","LaLiga","21","1/29/06","A","FC Barcelona","RCD Mallorca","0:03","CF",83,0.03,"Left-footed shot","Ronaldinho Gaacho"
"8","05/06","Copa del Rey","Quarter-Finals","02-01/06","H","FC Barcelona","Real Zaragoza","2:01","CF",42,1,"Header","Ludovic Giuly"
"9","05/06","LaLiga","24","2/18/06","H","FC Barcelona","Real Betis Balompie","5:01","RW",84,5.01,"Left-footed shot",""
"10","06/07","LaLiga","1","8/28/06","A","FC Barcelona","Celta de Vigo","2:03","LW",59,1.02,"Left-footed shot","Andres Iniesta"
"11","06/07","LaLiga","2","09/09/06","H","FC Barcelona","CA Osasuna","3:00","RW",36,3,"Left-footed shot","Samuel Etoo"
"12","06/07","UEFA Champions League","Group Stage","9/27/06","A","FC Barcelona","SV Werder Bremen","1:01","RW",89,1.01,"Left-footed shot","Deco"
"13","06/07","LaLiga","6","10/15/06","H","FC Barcelona","Sevilla FC","3:01","RW",80,3.01,"Right-footed shot","Xavi"
"14","06/07","LaLiga","26","03/10/07","H","FC Barcelona","Real Madrid","3:03","RW",11,1.01,"Left-footed shot","Samuel Etoo"
"15","06/07","LaLiga","26","03/10/07","H","FC Barcelona","Real Madrid","3:03","RW",28,2.02,"Left-footed shot",""
"16","06/07","LaLiga","26","03/10/07","H","FC Barcelona","Real Madrid","3:03","RW",901,3.03,"Left-footed shot","Ronaldinho Gaacho"
"17","06/07","LaLiga","27","3/17/07","A","FC Barcelona","Recreativo Huelva","0:04","RW",86,0.04,"Left-footed shot",""
"18","06/07","LaLiga","28","3/31/07","H","FC Barcelona","Deportivo de La Coruaa","2:01","RW",45,1,"Left-footed shot","Ronaldinho Gaacho"
"19","06/07","Copa del Rey","Semi-Finals","4/18/07","H","FC Barcelona","Getafe CF","5:02","RW",29,2,"Solo run","Xavi"
"20","06/07","Copa del Rey","Semi-Finals","4/18/07","H","FC Barcelona","Getafe CF","5:02","RW",45,3,"Left-footed shot","Deco"
"21","06/07","LaLiga","35","5/20/07","A","FC Barcelona","Atletico de Madrid","0:06","RW",39,0.01,"Left-footed shot","Samuel Etoo"
"22","06/07","LaLiga","35","5/20/07","A","FC Barcelona","Atletico de Madrid","0:06","RW",80,0.05,"Left-footed shot","Giovanni van Bronckhorst"
"23","06/07","LaLiga","37","06/09/07","H","FC Barcelona","RCD Espanyol Barcelona","2:02","RW",43,1.01,"","Gianluca Zambrotta"
"24","06/07","LaLiga","37","06/09/07","H","FC Barcelona","RCD Espanyol Barcelona","2:02","RW",57,2.01,"Right-footed shot","Deco"
"25","06/07","LaLiga","38","6/17/07","A","FC Barcelona","Gimnastic de Tarragona","1:05","RW",34,0.02,"Left-footed shot","Deco"
"26","06/07","LaLiga","38","6/17/07","A","FC Barcelona","Gimnastic de Tarragona","1:05","RW",51,0.04,"Left-footed shot","Deco"
"27","07/08","UEFA Champions League","Group Stage","9/19/07","H","FC Barcelona","Olympique Lyon","3:00","RW",82,2,"Left-footed shot","Andres Iniesta"
"28","07/08","LaLiga","4","9/22/07","H","FC Barcelona","Sevilla FC","2:01","RW",72,1,"Left-footed shot","Thierry Henry"
"29","07/08","LaLiga","4","9/22/07","H","FC Barcelona","Sevilla FC","2:01","RW",79,2,"Penalty",""
