"","Tournament","Matchday","Date","Venue","Club","Opponent","Result","Position","Minute","When.Scored","Goal.Type","Assist","Score_Home","Score_Away"
"1","Paulistão A1 - Primeira Fase ","14","3/16/09","Home","Santos FC","Mogi Mirim EC","3:0","LW",73,"3:0","Not reported","Not Applicable",3,0
"2","Copa do Brasil ","1.Runde","3/19/09","Home","Santos FC","Rio Branco Football Club (AC)","4:0","Not Applicable",59,"1:0","Not reported","Not Applicable",4,0
"3","Paulistão A1 - Primeira Fase ","16","3/26/09","Home","Santos FC","EC Santo André","3:0","Not Applicable",66,"3:0","Not reported","Not Applicable",3,0
"4","Paulistão A1 - Fase Final ","Halbfinale","4/11/09","Home","Santos FC","Sociedade Esportiva Palmeiras","2:1","Not Applicable",46,"2:1","Not reported","Not Applicable",2,1
"5","Série A ","7","6/21/09","Home","Santos FC","Clube Atlético Mineiro","2:3","Not Applicable",45,"1:0","Left-footed shot","Not Applicable",2,3
"6","Série A ","11","7/15/09","Home","Santos FC","Grêmio Barueri Futebol Ltda.","3:3","Not Applicable",88,"3:3","Header","Luizinho",3,3
"7","Série A ","13","7/22/09","Home","Santos FC","Atlético Paranaense","1:0","Not Applicable",72,"1:0","Left-footed shot","Roni",1,0
"8","Série A ","15","7/29/09","Away","Santos FC","Clube Náutico Capibaribe","1:2","Not Applicable",67,"0:1","Header","Madson",1,2
"9","Série A ","34","11/7/09","Home","Santos FC","Clube Náutico Capibaribe","3:1","Not Applicable",58,"2:0","Right-footed shot","Madson",3,1
"10","Série A ","34","11/7/09","Home","Santos FC","Clube Náutico Capibaribe","3:1","Not Applicable",89,"3:1","Left-footed shot","Madson",3,1
"11","Série A ","35","11/15/09","Away","Santos FC","Sport Club Internacional","3:1","Not Applicable",63,"2:1","Right-footed shot","Felipe Azevedo",3,1
"12","Série A ","36","11/22/09","Home","Santos FC","Coritiba Foot Ball Club","4:0","Not Applicable",64,"3:0","Left-footed shot","Madson",4,0
"13","Série A ","36","11/22/09","Home","Santos FC","Coritiba Foot Ball Club","4:0","Not Applicable",88,"4:0","Right-footed shot","Ganso",4,0
"14","Série A ","38","12/6/09","Home","Santos FC","Cruzeiro Esporte Clube","1:2","Not Applicable",70,"1:1","Right-footed shot","Not Applicable",1,2
"15","Paulistão A1 - Primeira Fase ","1","1/18/10","Away","Santos FC","Rio Branco EC (SP)","0:4","Not Applicable",20,"0:2","Not reported","Not Applicable",0,4
"16","Paulistão A1 - Primeira Fase ","1","1/18/10","Away","Santos FC","Rio Branco EC (SP)","0:4","Not Applicable",89,"0:4","Not reported","Not Applicable",0,4
"17","Paulistão A1 - Primeira Fase ","4","1/28/10","Home","Santos FC","Grêmio Barueri Futebol Ltda.","5:0","Not Applicable",78,"4:0","Not reported","Not Applicable",5,0
"18","Paulistão A1 - Primeira Fase ","4","1/28/10","Home","Santos FC","Grêmio Barueri Futebol Ltda.","5:0","Not Applicable",86,"5:0","Penalty","Not Applicable",5,0
"19","Paulistão A1 - Primeira Fase ","5","1/31/10","Home","Santos FC","Oeste FC","2:0","Not Applicable",902,"2:0","Not reported","Not Applicable",2,0
"20","Paulistão A1 - Primeira Fase ","6","2/5/10","Away","Santos FC","EC Santo André","1:2","Not Applicable",24,"0:1","Not reported","Not Applicable",1,2
"21","Paulistão A1 - Primeira Fase ","7","2/7/10","Away","Santos FC","São Paulo Futebol Clube","1:2","Not Applicable",38,"0:1","Penalty","Not Applicable",1,2
"22","Paulistão A1 - Primeira Fase ","11","2/28/10","Home","Santos FC","Sport Club Corinthians Paulista","2:1","Not Applicable",33,"1:0","Not reported","Not Applicable",2,1
"23","Copa do Brasil ","1.Runde","3/11/10","Home","Santos FC","Clube Esportivo Naviraiense (MS)","10:0","Not Applicable",28,"3:0","Solo run","Robinho",10,0
"24","Copa do Brasil ","1.Runde","3/11/10","Home","Santos FC","Clube Esportivo Naviraiense (MS)","10:0","Not Applicable",54,"7:0","Solo run","Giovanni",10,0
"25","Paulistão A1 - Primeira Fase ","14","3/14/10","Home","Santos FC","Sociedade Esportiva Palmeiras","3:4","Not Applicable",30,"2:0","Not reported","Not Applicable",3,4
"26","Copa do Brasil ","2.Runde","3/19/10","Away","Santos FC","Clube do Remo (PA)","0:4","Not Applicable",21,"0:1","Not reported","Not Applicable",0,4
"27","Copa do Brasil ","2.Runde","3/19/10","Away","Santos FC","Clube do Remo (PA)","0:4","Not Applicable",81,"0:4","Penalty","Not Applicable",0,4
"28","Paulistão A1 - Primeira Fase ","18","4/4/10","Away","Santos FC","AD São Caetano (SP)","1:3","Not Applicable",67,"1:2","Not reported","Not Applicable",1,3
"29","Copa do Brasil ","Achtelfinale","4/15/10","Home","Santos FC","Guarani Futebol Clube (SP)","8:1","Not Applicable",2,"1:0","Penalty","Not Applicable",8,1
"30","Copa do Brasil ","Achtelfinale","4/15/10","Home","Santos FC","Guarani Futebol Clube (SP)","8:1","Not Applicable",29,"2:0","Not reported","Not Applicable",8,1
"31","Copa do Brasil ","Achtelfinale","4/15/10","Home","Santos FC","Guarani Futebol Clube (SP)","8:1","Not Applicable",38,"4:0","Not reported","Not Applicable",8,1
"32","Copa do Brasil ","Achtelfinale","4/15/10","Home","Santos FC","Guarani Futebol Clube (SP)","8:1","Not Applicable",81,"7:1","Not reported","Not Applicable",8,1
"33","Copa do Brasil ","Achtelfinale","4/15/10","Home","Santos FC","Guarani Futebol Clube (SP)","8:1","Not Applicable",84,"8:1","Not reported","Not Applicable",8,1
"34","Paulistão A1 - Fase Final ","Halbfinale","4/18/10","Home","Santos FC","São Paulo Futebol Clube","3:0","Not Applicable",59,"1:0","Not reported","Not Applicable",3,0
